"CompanyName","Coop Butiker & Stormarknader AB","Coop Butiker & Stormarknader"
"CompanyName","Volvo Powertrain Aktiebolag","Volvo Powertrain"
"CompanyName","Landstingshuset i Stockholm Aktiebolag","Landstingshuset i Stockholm"
"CompanyName","Aktiebolaget Tetra Pak","Tetra Pak"
"CompanyName","Intrum AB","Intrum"
"CompanyName","Peab Sverige AB","Peab Sverige"
"CompanyName","Arla Foods AB","Arla Foods"
"CompanyName","Swedish Match AB","Swedish Match"
"CompanyName","Stockholms Stadshus AB","Stockholms Stadshus"
"CompanyName","JM AB","JM"
"CompanyName","Outokumpu Stainless AB","Outokumpu Stainless"
"CompanyName","Atea Sverige AB","Atea Sverige"
"CompanyName","Boliden Mineral AB","Boliden Mineral"
"CompanyName","Swedish Orphan Biovitrum AB (publ)","Swedish Orphan Biovitrum  (publ)"
"CompanyName","Mölnlycke Health Care AB","Mölnlycke Health Care"
"CompanyName","Ahlsell Sverige AB","Ahlsell Sverige"
"CompanyName","Nynas AB","Nynas"
"CompanyName","Essity Hygiene and Health Aktiebolag","Essity Hygiene and Health"
"CompanyName","Mellby Gård Holding AB","Mellby Gård Holding"
"CompanyName","Investmentaktiebolaget Latour"
"CompanyName","Apotek Hjärtat AB","Apotek Hjärtat"
"CompanyName","Ekman & Co Aktiebolag","Ekman & Co"
"CompanyName","Ekman Invest Holding AB","Ekman Invest Holding"
"CompanyName","Elekta AB (publ)","Elekta  (publ)"
"CompanyName","Stora Enso AB","Stora Enso"
"CompanyName","BillerudKorsnäs Skog & Industri Aktiebolag","BillerudKorsnäs Skog & Industri"
"CompanyName","Nordic Entertainment Group AB","Nordic Entertainment Group"
"CompanyName","Bergendahl & Son Aktiebolag","Bergendahl & Son"
"CompanyName","Day 8 AB","Day 8"
"CompanyName","Mellby Gård AB","Mellby Gård"
"CompanyName","ABB AB","ABB"
"CompanyName","Beijer Ref AB (publ)","Beijer Ref  (publ)"
"CompanyName","Elektroskandia Sverige AB","Elektroskandia Sverige"
"CompanyName","Epiroc Rock Drills Aktiebolag","Epiroc Rock Drills"
"CompanyName","Elgiganten Aktiebolag","Elgiganten"
"CompanyName","HEXPOL AB","HEXPOL"
"CompanyName","Nobia AB","Nobia"
"CompanyName","Schenker AB","Schenker"
"CompanyName","Lehtirova Wind AB","Lehtirova Wind"
"CompanyName","iZettle AB","iZettle"
"CompanyName","TD Tech Data AB","TD Tech Data"
"CompanyName","Bilia Personbilar AB","Bilia Personbilar"
"CompanyName","Bergendahl Food AB","Bergendahl Food"
"CompanyName","Attendo AB (publ)","Attendo  (publ)"
"CompanyName","Unilabs Holding AB","Unilabs Holding"
"CompanyName","GKN Aerospace Sweden AB","GKN Aerospace Sweden"
"CompanyName","Telenor Sverige Aktiebolag","Telenor Sverige"
"CompanyName","Ework Group AB","Ework Group"
"CompanyName","Thomas Cook Northern Europe Aktiebolag","Thomas Cook Northern Europe"
"CompanyName","Volvo Parts Aktiebolag","Volvo Parts"
"CompanyName","Liljedahl Group AB","Liljedahl Group"
"CompanyName","Axel Johnson International Aktiebolag","Axel Johnson International"
"CompanyName","Addtech AB","Addtech"
"CompanyName","Mekonomen Aktiebolag","Mekonomen"
"CompanyName","Volvo Technology AB","Volvo Technology"
"CompanyName","Vattenfall Eldistribution AB","Vattenfall Eldistribution"
"CompanyName","Ambea AB ( publ )","Ambea  ( publ )"
"CompanyName","Klarna Holding AB","Klarna Holding"
"CompanyName","Elanders AB","Elanders"
"CompanyName","HI3G Holdings AB","HI3G Holdings"
"CompanyName","Mercedes-Benz Sverige AB","Mercedes-Benz Sverige"
"CompanyName","Gränges AB","Gränges"
"CompanyName","Siemens Energy AB","Siemens Energy"
"CompanyName","Nobina AB (publ)","Nobina  (publ)"
"CompanyName","Peab Anläggning AB","Peab Anläggning"
"CompanyName","Aktiebolaget Industrivärden","Industrivärden"
"CompanyName","Dunross & Co Aktiebolag","Dunross & Co"
"CompanyName","Neste AB","Neste"
"CompanyName","Axis Communications Aktiebolag","Axis Communications"
"CompanyName","Medicover AB","Medicover"
"CompanyName","Assemblin Financing AB (publ)","Assemblin Financing  (publ)"
"CompanyName","Skandinaviska Enskilda Banken AB","Skandinaviska Enskilda Banken"
"CompanyName","IKEA IT Aktiebolag","IKEA IT"
"CompanyName","IKEA Svenska Försäljnings Aktiebolag","IKEA Svenska Försäljnings"
"CompanyName","SMD Logistics AB","SMD Logistics"
"CompanyName","Scandi Standard AB (publ)","Scandi Standard  (publ)"
"CompanyName","BillerudKorsnäs Sweden AB","BillerudKorsnäs Sweden"
"CompanyName","Samhall Aktiebolag","Samhall"
"CompanyName","KJB Holding AB","KJB Holding"
"CompanyName","AcadeMedia Support AB","AcadeMedia Support"
"CompanyName","Fastighets AB Balder","Fastighets  Balder"
"CompanyName","Eltel AB","Eltel"
"CompanyName","OptiGroup AB","OptiGroup"
"CompanyName","Martin & Servera Restauranghandel AB","Martin & Servera Restauranghandel"
"CompanyName","E.ON Energidistribution Aktiebolag","E.ON Energidistribution"
"CompanyName","Coor Service Management Holding AB","Coor Service Management Holding"
"CompanyName","City Gross Sverige AB","City Gross Sverige"
